time,dl_lw1,dl_lw2,dl_lw3,dl_lw4
2025-04-20 22:45:16.068777,506.81,279.01,164.15,39.2
2025-04-20 22:45:17.022386,508.05,279.01,164.15,39.2
2025-04-20 22:45:18.070235,509.7,279.01,164.15,39.2
2025-04-20 22:45:19.061724,511.35,279.01,164.15,39.2
2025-04-20 22:45:20.152120,513,279.01,164.15,39.2
2025-04-20 22:45:21.146329,513,279.01,165.38,39.2
2025-04-20 22:45:22.142536,515.07,279.01,165.38,39.2
2025-04-20 22:45:23.151459,517.15,279.01,165.38,39.2
2025-04-20 22:45:24.210613,518.8,279.01,165.38,39.2
2025-04-20 22:45:25.247874,520.87,279.01,165.38,39.2
2025-04-20 22:45:26.325555,522.94,279.01,165.38,39.2
2025-04-20 22:45:27.268353,525.62,279.01,165.38,39.2
2025-04-20 22:45:28.303554,527.69,279.01,165.38,39.2
2025-04-20 22:45:29.266166,529.76,279.01,165.38,39.2
2025-04-20 22:45:30.363163,532.43,279.01,165.38,39.2
2025-04-20 22:45:31.304291,535.11,279.01,165.38,39.2
2025-04-20 22:45:32.321905,537.78,279.01,165.38,39.2
2025-04-20 22:45:33.329132,540.46,279.01,165.38,39.2
2025-04-20 22:45:34.357760,543.13,279.01,165.38,39.2
2025-04-20 22:45:35.380947,546.5,279.01,165.38,39.2
2025-04-20 22:45:36.393050,550.33,279.01,165.38,39.2
2025-04-20 22:45:37.407093,554.15,279.01,165.38,39.2
2025-04-20 22:45:38.428277,557.97,279.01,165.38,39.2
2025-04-20 22:45:39.422953,561.79,279.01,165.38,39.2
2025-04-20 22:45:40.449650,565.61,279.01,165.38,39.2
2025-04-20 22:45:41.446529,569.44,279.01,165.38,39.2
2025-04-20 22:45:42.535383,574.08,279.01,165.38,39.2
2025-04-20 22:45:43.529964,577.91,279.01,165.38,39.2
2025-04-20 22:45:44.580459,583.37,279.01,165.38,39.2
2025-04-20 22:45:45.594555,588.83,279.01,165.38,39.2
2025-04-20 22:45:46.628970,594.29,279.01,165.38,39.2
2025-04-20 22:45:47.679301,598.93,279.01,165.38,39.2
2025-04-20 22:45:48.648315,604.39,279.01,165.38,39.2
2025-04-20 22:45:49.668917,610.72,279.01,165.38,39.2
2025-04-20 22:45:50.669382,616.18,279.01,165.38,39.2
2025-04-20 22:45:51.675381,621.64,279.01,165.38,39.2
2025-04-20 22:45:52.738816,627.97,279.01,165.38,39.2
2025-04-20 22:45:53.742654,634.3,279.01,165.38,39.2
2025-04-20 22:45:54.821342,640.63,279.01,165.38,39.2
2025-04-20 22:45:55.836665,645.27,279.01,165.38,39.2
2025-04-20 22:45:56.854158,650.73,279.01,165.38,39.2
2025-04-20 22:45:57.900175,656.19,279.01,165.38,39.2
2025-04-20 22:45:58.918578,662.52,279.01,165.38,39.2
2025-04-20 22:45:59.930125,667.98,279.01,165.38,39.2
2025-04-20 22:46:00.953529,674.31,279.01,165.38,39.2
2025-04-20 22:46:01.990292,680.64,279.01,165.38,39.2
2025-04-20 22:46:02.990775,686.97,279.01,165.38,39.2
2025-04-20 22:46:03.998098,693.29,279.01,165.38,39.2
2025-04-20 22:46:05.024467,699.62,279.01,165.38,39.2
2025-04-20 22:46:06.069361,706.79,279.01,165.38,39.2
2025-04-20 22:46:07.029098,713.12,279.01,165.38,39.2
2025-04-20 22:46:08.082108,719.45,279.01,165.38,39.2
2025-04-20 22:46:09.070243,725.77,279.01,165.38,39.2
2025-04-20 22:46:10.125053,732.1,279.01,165.38,39.2
2025-04-20 22:46:11.100003,737.56,279.01,165.38,39.2
2025-04-20 22:46:12.161908,743.89,279.01,165.38,39.2
2025-04-20 22:46:13.154160,750.22,279.01,165.38,39.2
2025-04-20 22:46:14.192533,757.39,279.01,165.38,39.2
2025-04-20 22:46:15.206754,763.71,279.01,165.38,39.2
2025-04-20 22:46:16.242386,769.17,279.01,165.38,39.2
2025-04-20 22:46:17.308844,776.34,279.01,165.38,39.2
2025-04-20 22:46:18.336494,782.67,279.01,165.38,39.2
2025-04-20 22:46:19.353216,789.84,279.01,165.38,39.2
2025-04-20 22:46:20.434047,795.3,279.01,165.38,39.2
2025-04-20 22:46:21.420933,801.63,279.01,165.38,39.2
2025-04-20 22:46:22.442932,807.95,279.01,165.38,39.2
2025-04-20 22:46:23.438929,814.28,279.01,165.38,39.2
2025-04-20 22:46:24.554626,820.61,279.01,165.38,39.2
2025-04-20 22:46:25.563673,826.94,279.01,165.38,39.2
2025-04-20 22:46:26.573624,833.27,279.01,165.38,39.2
2025-04-20 22:46:27.600403,839.59,279.01,165.38,39.2
2025-04-20 22:46:28.644970,845.92,279.01,165.38,39.2
2025-04-20 22:46:29.671617,852.25,279.01,165.38,39.2
2025-04-20 22:46:30.684670,858.58,279.01,165.38,39.2
2025-04-20 22:46:31.695556,864.91,279.01,165.38,39.2
2025-04-20 22:46:32.702228,871.23,279.01,165.38,39.2
2025-04-20 22:46:33.761060,877.56,279.01,165.38,39.2
