time,snr_lw1,snr_lw2,snr_lw3,snr_lw4
2025-04-20 22:44:36.209860,-0.294544,-4.863541,10.083412,-5.596077
2025-04-20 22:44:37.274428,0.826128,-5.239532,7.903221,-6.775673
2025-04-20 22:44:38.289873,0.510748,-5.600224,6.831032,-5.07967
2025-04-20 22:44:39.296958,-0.317589,-4.651699,8.572426,-7.264549
2025-04-20 22:44:40.359198,0.327574,-5.034519,9.242725,-6.994184
2025-04-20 22:44:41.452975,-0.381702,-4.815683,7.768799,-6.581511
2025-04-20 22:44:42.394975,1.376884,-5.220005,8.558865,-6.790079
2025-04-20 22:44:43.407618,1.072582,-6.041084,8.309757,-7.061874
2025-04-20 22:44:44.414618,-0.402082,-5.94322,9.427509,-7.770283
2025-04-20 22:44:45.432713,0.50354,-6.33016,9.095451,-8.191925
2025-04-20 22:44:46.459424,0.012869,-5.719746,7.505699,-8.124756
2025-04-20 22:44:47.457915,-0.472672,-4.042309,10.128384,-6.798487
2025-04-20 22:44:48.538784,-1.087667,-6.64102,10.199825,-7.653904
2025-04-20 22:44:49.631620,0.316553,-4.96736,8.977116,-7.383125
2025-04-20 22:44:50.546380,-1.12438,-5.32229,9.507935,-7.557238
2025-04-20 22:44:51.584504,1.913776,-5.297544,8.635975,-6.777876
2025-04-20 22:44:52.603038,0.886709,-4.365931,8.449818,-6.271982
2025-04-20 22:44:53.622903,-0.477127,-4.193989,8.086128,-6.578199
2025-04-20 22:44:54.601134,-1.976311,-4.308762,6.319592,-6.359383
2025-04-20 22:44:55.711953,2.736263,-4.333576,8.089798,-7.485308
2025-04-20 22:44:56.676934,3.638786,-4.441027,7.496925,-6.981451
2025-04-20 22:44:57.697852,2.496754,-6.289364,8.034885,-7.871071
2025-04-20 22:44:58.694658,1.439562,-4.212824,8.113602,-5.632154
2025-04-20 22:44:59.720549,1.877661,-3.714424,6.359993,-5.509762
2025-04-20 22:45:00.714135,1.835951,-4.210796,8.51054,-5.030285
2025-04-20 22:45:01.746348,1.876766,-3.306477,9.287262,-6.294226
2025-04-20 22:45:02.758058,1.14646,-4.486212,3.29961,-6.333765
2025-04-20 22:45:03.774465,1.498741,-2.276329,7.245777,-5.515734
2025-04-20 22:45:04.794595,1.865128,-5.544273,6.960243,-7.245329
2025-04-20 22:45:05.816239,1.443348,-3.771191,7.566319,-4.664124
2025-04-20 22:45:06.899606,3.099884,-2.883215,7.296108,-5.25828
2025-04-20 22:45:07.969166,2.673496,-4.284676,7.571045,-5.876244
2025-04-20 22:45:08.926361,3.504852,-5.213634,7.697758,-5.948217
2025-04-20 22:45:09.934824,2.988129,-3.501875,6.935669,-5.353268
2025-04-20 22:45:10.912271,4.349396,-2.376171,5.7164,-7.744953
2025-04-20 22:45:11.960385,5.033649,-4.201418,6.042542,-4.461866
2025-04-20 22:45:13.009172,4.786846,-3.393848,6.400463,-7.033623
2025-04-20 22:45:13.967509,4.960442,-2.995333,0.832226,-5.060301
2025-04-20 22:45:14.982434,4.378838,-4.453751,2.745594,-5.676821
